#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+5.24          +10.41          kcal/mol       1.0000   1.0000    26.695    0     0     energy('CsI_CsCl_EOS_abc_080')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+3.05          +6.50           kcal/mol       1.0000   2.0000    23.836    0     0     energy('CsI_CsCl_EOS_abc_084')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+1.57          +3.14           kcal/mol       1.0000   4.0000    9.943     0     0     energy('CsI_CsCl_EOS_abc_088')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+0.64          +0.47           kcal/mol       1.0000   10.0000   0.285     0     0     energy('CsI_CsCl_EOS_abc_092')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+0.15          -0.65           kcal/mol       1.0000   20.0000   12.813    0     0     energy('CsI_CsCl_EOS_abc_096')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('CsI_CsCl_EOS_abc_100')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+0.12          +0.75           kcal/mol       1.0000   20.0000   8.093     0     0     energy('CsI_CsCl_EOS_abc_104')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+0.45          +1.51           kcal/mol       1.0000   10.0000   11.255    0     0     energy('CsI_CsCl_EOS_abc_108')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+0.94          +2.27           kcal/mol       1.0000   4.0000    6.999     0     0     energy('CsI_CsCl_EOS_abc_112')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+1.56          +3.02           kcal/mol       1.0000   2.0000    4.246     0     0     energy('CsI_CsCl_EOS_abc_116')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+2.29          +3.77           kcal/mol       1.0000   1.0000    2.194     0     0     energy('CsI_CsCl_EOS_abc_120')/1.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+4.99          +4.96           kcal/mol       1.0000   1.0000    0.001     0     0     energy('CsI_NaCl_EOS_abc_080')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+2.88          +2.57           kcal/mol       1.0000   2.0000    0.192     0     0     energy('CsI_NaCl_EOS_abc_084')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+1.46          +0.57           kcal/mol       1.0000   4.0000    3.209     0     0     energy('CsI_NaCl_EOS_abc_088')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+0.58          -0.81           kcal/mol       1.0000   10.0000   19.517    0     0     energy('CsI_NaCl_EOS_abc_092')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+0.13          -0.96           kcal/mol       1.0000   20.0000   23.695    0     0     energy('CsI_NaCl_EOS_abc_096')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('CsI_NaCl_EOS_abc_100')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+0.13          +0.98           kcal/mol       1.0000   20.0000   14.446    0     0     energy('CsI_NaCl_EOS_abc_104')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+0.46          +1.88           kcal/mol       1.0000   10.0000   20.176    0     0     energy('CsI_NaCl_EOS_abc_108')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+0.94          +2.70           kcal/mol       1.0000   4.0000    12.329    0     0     energy('CsI_NaCl_EOS_abc_112')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+1.55          +3.46           kcal/mol       1.0000   2.0000    7.250     0     0     energy('CsI_NaCl_EOS_abc_116')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+2.26          +4.16           kcal/mol       1.0000   1.0000    3.627     0     0     energy('CsI_NaCl_EOS_abc_120')/4.000 - energy('CsI_NaCl_EOS_abc_100')/4.000
+9.30          +7.10           kcal/mol       1.0000   2.0000    9.647     0     0     energy('PbI2_Hex_EOS_abc_080')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+5.29          +4.20           kcal/mol       1.0000   4.0000    4.804     0     0     energy('PbI2_Hex_EOS_abc_084')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+2.67          +2.26           kcal/mol       1.0000   8.0000    1.301     0     0     energy('PbI2_Hex_EOS_abc_088')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+1.08          +1.02           kcal/mol       1.0000   20.0000   0.073     0     0     energy('PbI2_Hex_EOS_abc_092')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+0.26          +0.29           kcal/mol       1.0000   40.0000   0.042     0     0     energy('PbI2_Hex_EOS_abc_096')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   160.0000  0.000     0     0     energy('PbI2_Hex_EOS_abc_100')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+0.15          +0.18           kcal/mol       1.0000   80.0000   0.053     0     0     energy('PbI2_Hex_EOS_abc_104')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+0.60          +0.56           kcal/mol       1.0000   40.0000   0.080     0     0     energy('PbI2_Hex_EOS_abc_108')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+1.26          +1.19           kcal/mol       1.0000   16.0000   0.081     0     0     energy('PbI2_Hex_EOS_abc_112')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+2.07          +1.63           kcal/mol       1.0000   8.0000    1.587     0     0     energy('PbI2_Hex_EOS_abc_116')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+2.99          +2.45           kcal/mol       1.0000   4.0000    1.202     0     0     energy('PbI2_Hex_EOS_abc_120')/1.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+9.71          +13.52          kcal/mol       1.0000   1.0000    14.504    0     0     energy('PbI2_Hex_EOS_ab_080')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+5.73          +8.30           kcal/mol       1.0000   2.0000    13.201    0     0     energy('PbI2_Hex_EOS_ab_084')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+2.99          +4.59           kcal/mol       1.0000   4.0000    10.206    0     0     energy('PbI2_Hex_EOS_ab_088')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+1.25          +2.15           kcal/mol       1.0000   10.0000   8.048     0     0     energy('PbI2_Hex_EOS_ab_092')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+0.31          +0.61           kcal/mol       1.0000   20.0000   1.817     0     0     energy('PbI2_Hex_EOS_ab_096')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_Hex_EOS_ab_100')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+0.21          +0.06           kcal/mol       1.0000   20.0000   0.429     0     0     energy('PbI2_Hex_EOS_ab_104')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+0.83          +0.59           kcal/mol       1.0000   10.0000   0.600     0     0     energy('PbI2_Hex_EOS_ab_108')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+1.80          +1.59           kcal/mol       1.0000   4.0000    0.170     0     0     energy('PbI2_Hex_EOS_ab_112')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+3.04          +2.63           kcal/mol       1.0000   2.0000    0.349     0     0     energy('PbI2_Hex_EOS_ab_116')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+4.52          +4.07           kcal/mol       1.0000   1.0000    0.200     0     0     energy('PbI2_Hex_EOS_ab_120')/1.000 - energy('PbI2_Hex_EOS_ab_100')/1.000
+17.86         +18.45          kcal/mol       1.0000   1.0000    0.345     0     0     energy('PbI2_Hex_EOS_a_080')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+10.20         +11.81          kcal/mol       1.0000   2.0000    5.170     0     0     energy('PbI2_Hex_EOS_a_084')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+5.19          +6.87           kcal/mol       1.0000   4.0000    11.218    0     0     energy('PbI2_Hex_EOS_a_088')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+2.12          +3.54           kcal/mol       1.0000   10.0000   20.312    0     0     energy('PbI2_Hex_EOS_a_092')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+0.50          +1.02           kcal/mol       1.0000   20.0000   5.378     0     0     energy('PbI2_Hex_EOS_a_096')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_Hex_EOS_a_100')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+0.37          +0.44           kcal/mol       1.0000   20.0000   0.084     0     0     energy('PbI2_Hex_EOS_a_104')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+1.46          +1.61           kcal/mol       1.0000   10.0000   0.221     0     0     energy('PbI2_Hex_EOS_a_108')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+3.16          +3.62           kcal/mol       1.0000   4.0000    0.843     0     0     energy('PbI2_Hex_EOS_a_112')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+5.41          +5.86           kcal/mol       1.0000   2.0000    0.411     0     0     energy('PbI2_Hex_EOS_a_116')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+8.12          +8.50           kcal/mol       1.0000   1.0000    0.142     0     0     energy('PbI2_Hex_EOS_a_120')/1.000 - energy('PbI2_Hex_EOS_a_100')/1.000
+13.69         +3.52           kcal/mol       1.0000   4.0000    413.395   0     0     energy('PbI2_Hex_EOS_c_080')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+6.72          +3.24           kcal/mol       1.0000   8.0000    97.129    0     0     energy('PbI2_Hex_EOS_c_085')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+2.56          +1.14           kcal/mol       1.0000   20.0000   40.501    0     0     energy('PbI2_Hex_EOS_c_090')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.55          +0.17           kcal/mol       1.0000   40.0000   5.724     0     0     energy('PbI2_Hex_EOS_c_095')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   160.0000  0.000     0     0     energy('PbI2_Hex_EOS_c_100')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
+0.30          +0.51           kcal/mol       1.0000   80.0000   3.623     0     0     energy('PbI2_Hex_EOS_c_105')/1.000 - energy('PbI2_Hex_EOS_c_100')/1.000
